Abb_Spp,Size,Mobility,Activity,Schooling,Position,Diet
ACHIR,S3,Mob,Day,SmallG,Low,IM
ACOER,S3,Mob,Day,SmallG,Low,HD
AHIAN,S3,Mob,Both,SmallG,Low,PK
AMACU,S5,Mob,Day,SmallG,Low,HD
APOLY,S4,Mob,Day,Sol,Low,IS
AQUAD,S3,Mob,Day,Sol,Bottom,IM
ASAXA,S3,Mob,Day,SmallG,Low,OM
ASCRI,S5,VMob,Both,Sol,Low,PK
ATAUR,S3,Mob,Day,SmallG,Low,OM
ATRAC,S3,Mob,Day,SmallG,Low,HD
BLUNA,S4,Sed,Day,Sol,Bottom,FC
CCAPI,S3,Mob,Both,SmallG,Low,IM
CCRY,S4,VMob,Day,LargeG,High,FC
CHYPP,S5,VMob,Day,LargeG,High,FC
CLATU,S5,VMob,Day,LargeG,High,IM
COCEL,S3,Sed,Both,Sol,Low,PK
CPULL,S3,Mob,Both,MedG,Low,IM
CRUBE,S4,Mob,Day,Sol,Bottom,FC
CSUFF,S3,VMob,Day,MedG,Low,HM
DHOLO,S2,Mob,Day,Sol,Low,IS
DHYST,S4,Mob,Both,Sol,Bottom,IM
GCINER,S3,Mob,Both,MedG,Low,IM
HALBU,S4,Mob,Both,MedG,Low,IM
HAURO,S3,Mob,Both,LargeG,Low,IM
HBIVI,S3,Mob,Day,Sol,Low,IM
HCARB,S3,Mob,Both,MedG,Low,IM
HCILI,S2,Mob,Both,MedG,Low,IM
HFLAV,S3,VMob,Both,MedG,High,PK
HGARN,S3,Mob,Day,SmallG,Low,IM
HMACU,S3,Sed,Day,Sol,Low,HD
HMELA,S3,Mob,Both,MedG,Low,IM
HPLUM,S4,Mob,Day,SmallG,Low,IM
HRADI,S4,Mob,Day,Sol,Low,IM
HSCIU,S3,Sed,Both,MedG,Low,PK
HTRIC,S3,Sed,Day,Pair,Low,IS
KYPHO,S4,VMob,Both,SmallG,High,FC
LANAL,S4,VMob,Both,Sol,Low,FC
LAPOD,S4,Mob,Day,SmallG,Low,IM
LBICA,S3,Mob,Day,Sol,Low,IM
LGRIS,S4,Mob,Day,SmallG,Low,FC
LJOCU,S5,Mob,Day,MedG,Low,HD
LMAHO,S3,Mob,Day,MedG,Low,IM
LSYNA,S3,VMob,Both,LargeG,High,HD
LTRIQ,S3,Mob,Day,Sol,Low,IM
MBONA,S5,Mob,Day,MedG,Low,PK
MCHRY,S3,VMob,Day,Sol,Low,IM
MINTE,S4,Sed,Day,Pair,Low,IS
MTRIA,S1,Sed,Day,Sol,Bottom,IM
OCHRY,S4,Mob,Day,SmallG,Low,IM
PPARU,S4,Mob,Day,Sol,Low,IS
SAURO,S3,Mob,Day,MedG,High,PK
SBARR,S6,VMob,Night,SmallG,High,FC
SCHRY,S3,Mob,Day,SmallG,High,IM
SDIEN,S2,Sed,Day,Sol,Low,HD
SINTE,S4,Mob,Day,Sol,Low,FC
SISER,S3,Mob,Day,MedG,Low,IM
SLEUC,S3,Mob,Both,LargeG,Low,IM
SPART,S2,Mob,Day,Sol,Bottom,FC
SPENG,S2,Mob,Day,Sol,Low,IS
SPLAN,S2,Mob,Both,Sol,Bottom,IM
SRUBR,S4,Mob,Day,MedG,Low,IM
STIGR,S2,Sed,Night,Sol,Bottom,IM
SVIRI,S4,Mob,Day,Sol,Bottom,IM
TBIFA,S2,Mob,Both,MedG,Low,IM
TFALC,S5,VMob,Day,MedG,Low,IM
